order_id,order_date,sku,quantity,unit_price
1001,2024-02-02,RING-001,3,450
1002,2024-02-05,NECK-002,2,620
1003,2024-02-05,EARR-004,5,260
1004,2024-02-10,BAND-006,2,420
1005,2024-02-14,RING-001,4,450
1006,2024-02-18,PEND-005,3,520
1007,2024-02-25,BRAC-003,1,700
1008,2024-03-01,RING-001,5,450
1009,2024-03-04,NECK-002,3,620
1010,2024-03-07,EARR-004,6,260
1011,2024-03-12,BAND-006,3,420
1012,2024-03-18,PEND-005,2,520
1013,2024-03-23,BRAC-003,2,700
1014,2024-04-02,RING-001,6,450
1015,2024-04-05,EARR-004,4,260
1016,2024-04-09,NECK-002,4,620
1017,2024-04-16,BAND-006,2,420
1018,2024-04-22,PEND-005,3,520
1019,2024-04-27,BRAC-003,2,700
1020,2024-05-03,RING-001,4,450
1021,2024-05-05,EARR-004,5,260
1022,2024-05-11,NECK-002,3,620
1023,2024-05-13,BAND-006,2,420
1024,2024-05-16,PEND-005,2,520
1025,2024-05-19,BRAC-003,1,700
